order_id,rating,review_text,review_date
72,4,,2025-04-11
90,4,"Muito bom, recomendo a todos!",2025-04-25
177,4,"Muito bom, recomendo a todos!",2025-04-11
85,5,Entrega rápida e produto perfeito.,2025-05-31
29,3,"Funciona, mas a qualidade é mediana.",2025-05-04
147,2,"Não funciona como descrito, quero meu dinheiro de volta.",2025-05-03
19,5,"Produto excelente, superou minhas expectativas!",2025-05-02
36,3,"Funciona, mas a qualidade é mediana.",2025-06-05
46,4,"Qualidade impressionante, vale cada centavo.",2025-05-23
148,3,"Cumpre o básico, nada especial.",2025-05-07
186,2,"Produto veio com defeito, muito decepcionado.",2025-04-24
70,4,"Muito bom, recomendo a todos!",2025-06-08
42,5,,2025-05-30
114,5,"Muito bom, recomendo a todos!",2025-05-16
112,5,"Adorei, exatamente como na descrição.",2025-05-27
26,3,"Não é ruim, mas também não é excelente.",2025-04-25
11,4,"Muito bom, recomendo a todos!",2025-05-15
16,5,"Muito bom, recomendo a todos!",2025-06-05
62,5,"Produto excelente, superou minhas expectativas!",2025-05-04
141,2,,2025-04-29
167,4,"Produto excelente, superou minhas expectativas!",2025-06-05
160,5,"Qualidade impressionante, vale cada centavo.",2025-04-30
40,4,"Muito bom, recomendo a todos!",2025-06-01
9,3,"Produto ok, mas poderia ser melhor.",2025-04-20
68,5,,2025-05-10
143,1,"Produto veio com defeito, muito decepcionado.",2025-05-10
49,3,"Produto ok, mas poderia ser melhor.",2025-05-05
144,5,"Qualidade impressionante, vale cada centavo.",2025-06-01
191,4,"Muito bom, recomendo a todos!",2025-05-21
135,4,"Qualidade impressionante, vale cada centavo.",2025-05-29
162,4,"Muito bom, recomendo a todos!",2025-04-17
113,2,"Qualidade péssima, não compraria novamente.",2025-04-24
140,5,Entrega rápida e produto perfeito.,2025-04-11
28,4,"Produto excelente, superou minhas expectativas!",2025-04-13
199,4,Entrega rápida e produto perfeito.,2025-06-05
22,4,,2025-06-07
176,5,"Qualidade impressionante, vale cada centavo.",2025-05-27
102,1,"Produto veio com defeito, muito decepcionado.",2025-05-23
111,4,"Produto excelente, superou minhas expectativas!",2025-05-17
89,4,Entrega rápida e produto perfeito.,2025-04-30
164,5,"Adorei, exatamente como na descrição.",2025-06-04
57,4,"Qualidade impressionante, vale cada centavo.",2025-05-26
197,5,Entrega rápida e produto perfeito.,2025-05-15
69,4,"Muito bom, recomendo a todos!",2025-06-07
67,4,"Produto excelente, superou minhas expectativas!",2025-05-06
94,5,"Qualidade impressionante, vale cada centavo.",2025-04-16
192,5,"Adorei, exatamente como na descrição.",2025-05-03
53,4,,2025-05-23
66,5,,2025-05-12
81,4,,2025-05-10
56,4,"Adorei, exatamente como na descrição.",2025-05-30
127,5,,2025-05-16
181,4,"Qualidade impressionante, vale cada centavo.",2025-06-01
129,5,"Adorei, exatamente como na descrição.",2025-05-25
172,4,Entrega rápida e produto perfeito.,2025-05-08
194,3,,2025-05-12
8,5,"Produto excelente, superou minhas expectativas!",2025-04-17
1,4,"Adorei, exatamente como na descrição.",2025-05-22
156,4,"Adorei, exatamente como na descrição.",2025-06-05
100,1,Demorou muito para chegar e veio errado.,2025-05-16
34,2,"Pior compra que já fiz, não recomendo.",2025-05-08
14,3,,2025-04-19
76,5,"Produto excelente, superou minhas expectativas!",2025-05-10
58,2,Demorou muito para chegar e veio errado.,2025-06-06
86,3,"Funciona, mas a qualidade é mediana.",2025-05-26
151,2,"Não funciona como descrito, quero meu dinheiro de volta.",2025-04-11
161,5,Entrega rápida e produto perfeito.,2025-05-02
45,4,"Muito bom, recomendo a todos!",2025-04-28
97,5,Entrega rápida e produto perfeito.,2025-05-11
74,5,,2025-06-01
200,4,"Muito bom, recomendo a todos!",2025-04-11
39,3,"Produto ok, mas poderia ser melhor.",2025-05-02
171,5,Entrega rápida e produto perfeito.,2025-04-17
165,5,,2025-04-11
47,5,,2025-06-05
159,3,,2025-06-05
18,4,"Adorei, exatamente como na descrição.",2025-05-01
178,3,"Funciona, mas a qualidade é mediana.",2025-04-30
185,2,Demorou muito para chegar e veio errado.,2025-05-20
108,4,Entrega rápida e produto perfeito.,2025-06-02
145,5,,2025-05-09
92,4,"Qualidade impressionante, vale cada centavo.",2025-04-28
27,3,"Não é ruim, mas também não é excelente.",2025-06-01
24,5,,2025-04-20
149,5,"Muito bom, recomendo a todos!",2025-05-21
193,5,"Produto excelente, superou minhas expectativas!",2025-04-14
182,1,"Qualidade péssima, não compraria novamente.",2025-04-15
115,5,"Produto excelente, superou minhas expectativas!",2025-05-16
12,3,Esperava um pouco mais pelo preço.,2025-06-08
180,5,"Muito bom, recomendo a todos!",2025-06-02
78,5,Entrega rápida e produto perfeito.,2025-04-28
158,2,"Pior compra que já fiz, não recomendo.",2025-04-16
198,1,Demorou muito para chegar e veio errado.,2025-05-08
6,4,"Adorei, exatamente como na descrição.",2025-05-31
71,4,"Adorei, exatamente como na descrição.",2025-06-03
50,2,"Pior compra que já fiz, não recomendo.",2025-04-14
163,5,,2025-05-18
3,2,"Pior compra que já fiz, não recomendo.",2025-04-24
93,3,"Produto ok, mas poderia ser melhor.",2025-04-15
82,5,"Adorei, exatamente como na descrição.",2025-06-03
116,3,"Cumpre o básico, nada especial.",2025-04-13
128,5,"Produto excelente, superou minhas expectativas!",2025-04-30
110,5,"Qualidade impressionante, vale cada centavo.",2025-04-11
187,4,"Adorei, exatamente como na descrição.",2025-04-14
55,4,"Adorei, exatamente como na descrição.",2025-05-07
136,5,"Produto excelente, superou minhas expectativas!",2025-05-11
25,5,"Muito bom, recomendo a todos!",2025-06-03
35,4,"Qualidade impressionante, vale cada centavo.",2025-05-22
118,4,Entrega rápida e produto perfeito.,2025-04-12
95,4,Entrega rápida e produto perfeito.,2025-06-07
132,5,"Produto excelente, superou minhas expectativas!",2025-05-12
5,5,"Adorei, exatamente como na descrição.",2025-05-18
104,2,,2025-05-18
101,5,"Adorei, exatamente como na descrição.",2025-06-03
189,5,"Produto excelente, superou minhas expectativas!",2025-05-27
107,3,"Produto ok, mas poderia ser melhor.",2025-04-11
138,5,"Produto excelente, superou minhas expectativas!",2025-05-30
77,4,,2025-06-04
21,3,Esperava um pouco mais pelo preço.,2025-05-30
154,4,,2025-05-19
184,4,"Adorei, exatamente como na descrição.",2025-05-31
44,4,"Muito bom, recomendo a todos!",2025-06-08
133,4,"Produto excelente, superou minhas expectativas!",2025-05-20
153,1,"Pior compra que já fiz, não recomendo.",2025-06-07
32,1,,2025-06-07
137,4,"Muito bom, recomendo a todos!",2025-04-30
31,5,,2025-04-22
75,5,"Produto excelente, superou minhas expectativas!",2025-05-16
175,5,,2025-04-25
99,5,"Muito bom, recomendo a todos!",2025-05-13
33,3,,2025-04-27
166,2,"Pior compra que já fiz, não recomendo.",2025-05-13
84,4,"Muito bom, recomendo a todos!",2025-05-21
131,4,,2025-04-17
43,5,"Produto excelente, superou minhas expectativas!",2025-05-16
37,2,"Produto veio com defeito, muito decepcionado.",2025-04-14
103,3,Esperava um pouco mais pelo preço.,2025-05-17
20,5,"Produto excelente, superou minhas expectativas!",2025-06-05
48,5,"Produto excelente, superou minhas expectativas!",2025-05-25
10,4,"Produto excelente, superou minhas expectativas!",2025-05-28
169,4,"Qualidade impressionante, vale cada centavo.",2025-05-20
30,3,Esperava um pouco mais pelo preço.,2025-05-07
174,4,Entrega rápida e produto perfeito.,2025-04-14
98,3,"Cumpre o básico, nada especial.",2025-04-14
146,4,"Produto excelente, superou minhas expectativas!",2025-05-24
109,2,,2025-06-04
152,2,"Não funciona como descrito, quero meu dinheiro de volta.",2025-05-26
13,1,"Não funciona como descrito, quero meu dinheiro de volta.",2025-04-14
87,5,,2025-06-09
73,4,Entrega rápida e produto perfeito.,2025-05-23
